activity_id,tag
1,old
1,participant
1,sport
2,food
2,old
2,participant
3,labs
3,participant
4,labs
4,participant
5,labs
5,participant
7,labs
7,participant
8,labs
8,participant
9,labs
9,participant
11,labs
11,participant
12,labs
12,participant
13,labs
13,participant
15,labs
15,participant
18,labs
18,participant
19,labs
19,participant
21,labs
21,old
21,participant
24,labs
24,participant
25,labs
25,participant
26,cdo
26,labs
26,old
26,participant
27,food
27,old
27,participant
28,participant
29,participant
31,participant
32,not_cdo
32,participant
34,not_cdo
34,participant
35,old
35,participant
36,participant
38,old
38,participant
39,old
39,participant
40,old
40,participant
41,participant
42,participant
44,not_cdo
44,old
44,participant
45,participant
47,old
47,participant
48,old
48,participant
49,participant
50,not_cdo
50,old
50,participant
52,participant
53,participant
54,participant
55,hidden
55,old
55,participant
56,cdo
56,participant
57,cdo
57,participant
60,labs
60,participant
61,old
61,participant
62,food
62,old
62,participant
63,mind
63,old
63,participant
64,mind
64,old
64,participant
65,mind
65,old
65,participant
66,mind
66,old
66,participant
67,mind
67,old
67,participant
68,mind
68,old
68,participant
69,mind
69,old
69,participant
70,mind
70,old
70,participant
71,mind
71,old
71,participant
72,mind
72,old
72,participant
73,mind
73,old
73,participant
74,mind
74,old
74,participant
75,mind
75,old
75,participant
76,mind
76,old
76,participant
77,mind
77,old
77,participant
78,mind
78,old
78,participant
79,mind
79,old
79,participant
80,mind
80,old
80,participant
81,labs
81,participant
83,labs
83,participant
84,labs
84,participant
89,old
89,participant
91,old
91,participant
92,old
92,participant
93,old
93,participant
94,old
94,participant
95,not_cdo
95,participant
96,old
96,participant
97,not_cdo
97,participant
98,not_cdo
98,participant
99,not_cdo
99,participant
100,not_cdo
100,participant
102,cdo
102,old
102,participant
103,cdo
103,labs
103,old
103,participant
104,cdo
104,old
104,participant
105,old
105,participant
106,old
106,participant
107,old
107,participant
109,labs
109,participant
110,labs
110,participant
112,labs
112,participant
114,labs
114,participant
115,labs
115,participant
116,labs
116,participant
117,hidden
117,labs
117,not_cdo
117,participant
118,not_cdo
