id,activity_id,track_id
1,3,2
2,5,2
3,7,2
4,8,2
5,9,2
6,11,2
7,12,2
8,13,2
10,19,4
11,19,1
14,21,1
15,21,5
17,24,1
18,25,1
19,29,2
20,34,1
21,35,1
22,35,4
23,36,1
24,38,1
25,38,4
26,39,1
27,39,4
28,40,1
29,41,1
30,42,1
31,44,1
32,45,1
34,47,1
35,48,1
36,49,1
37,50,1
39,52,1
40,53,1
41,54,1
42,56,3
43,57,3
47,83,2
48,89,2
49,91,1
50,92,1
51,97,1
52,97,4
53,98,1
54,99,1
55,99,4
56,100,1
57,100,4
58,102,3
59,103,3
60,109,2
61,110,2
62,112,2
63,114,2
64,115,2
65,116,1
66,116,4
67,121,2
68,122,1
69,123,1
71,125,1
72,126,1
73,127,1
74,128,1
75,129,1
76,131,1
79,134,1
80,135,1
82,138,3
83,139,3
84,140,3
85,152,1
86,153,1
87,154,1
89,157,3
90,164,1
91,164,4
92,165,4
93,165,1
94,166,4
95,166,1
97,168,1
98,169,3
99,170,3
101,172,3
102,173,3
103,174,3
104,178,2
105,179,2
106,180,2
108,184,2
109,185,2
110,186,1
111,186,4
112,187,1
113,191,2
114,192,2
115,193,1
116,195,1
117,196,1
118,198,1
119,199,1
120,201,1
121,202,1
122,203,1
124,205,1
125,206,1
126,207,1
129,217,1
130,218,1
131,220,3
132,221,3
133,222,3
134,223,3
135,228,3
139,236,1
156,245,1
157,245,5
160,247,1
161,248,1
162,249,1
163,250,1
165,252,1
166,253,1
167,254,1
168,255,1
169,256,1
170,257,1
171,258,1
172,259,1
173,260,1
174,261,1
175,262,1
176,263,1
177,264,1
181,268,1
184,270,1
185,270,6
186,271,1
187,271,6
188,272,6
189,272,1
190,273,6
191,273,1
192,274,1
193,274,6
194,275,1
195,276,1
196,277,1
197,278,1
198,279,1
199,280,1
200,281,1
201,281,4
202,282,1
203,283,1
204,284,1
205,285,1
207,292,3
208,293,3
209,294,3
210,295,3
211,296,3
212,297,3
217,304,1
221,307,1
222,309,1
223,310,1
224,311,1
225,313,2
227,315,2
228,316,2
229,317,2
230,318,2
231,319,2
233,321,2
234,322,2
236,324,2
238,326,2
239,327,2
241,329,2
242,330,2
243,331,2
244,332,2
245,333,2
246,334,2
247,335,3
248,336,2
249,337,2
250,338,2
251,339,2
252,340,2
253,341,2
254,342,2
255,343,2
256,344,2
257,345,2
258,346,2
259,347,2
260,348,2
261,349,2
262,350,2
263,351,2
264,352,2
265,353,2
266,354,2
267,355,1
268,356,1
269,357,1
270,358,1
274,362,1
275,363,1
276,365,3
277,367,2
278,375,1
279,376,1
280,377,1
281,378,3
282,379,3
283,380,3
284,381,3
285,382,1
286,383,1
287,384,2
288,385,2
289,386,2
290,387,2
291,312,1
292,4,2
293,388,1
294,18,2
295,389,1
296,137,3
297,391,2
298,392,2
299,393,2
300,394,2
301,395,2
302,396,2
303,397,2
304,398,2
305,399,2
306,400,2
307,401,2
308,402,2
309,403,2
310,404,3
311,405,3
312,408,3
313,426,1
314,427,1
315,428,1
316,429,1
317,430,1
318,430,2
319,434,2
320,435,2
321,436,2
322,437,1
323,443,2
324,444,5
325,444,1
326,446,6
327,451,1
328,452,1
329,453,3
330,454,3
331,455,2
332,467,1
333,469,1
334,470,1
335,471,1
336,474,3
337,475,1
338,476,3
339,477,2
340,481,1
341,483,3
342,484,1
343,484,5
344,485,5
345,486,1
346,486,5
347,487,1
348,487,5
349,488,1
350,488,5
351,489,1
352,489,5
353,490,1
354,490,5
355,491,1
356,491,5
357,492,1
358,492,5
359,493,1
360,493,5
361,494,1
362,494,5
363,495,1
364,496,1
365,497,1
366,498,1
367,499,5
368,499,1
369,500,1
370,504,1
371,504,4
372,505,5
373,506,5
374,507,5
375,507,1
376,508,1
377,509,2
378,510,2
379,511,2
380,512,2
381,513,2
382,514,1
383,515,1
384,516,1
385,518,1
386,519,2
387,520,2
388,521,1
389,522,2
390,523,1
391,531,3
392,26,3
393,532,1
394,533,1
395,534,2
396,155,3
397,163,2
398,537,1
399,538,1
400,539,2
401,540,2
402,541,1
403,544,6
404,544,1
405,545,1
406,546,2
407,282,4
408,150,2
409,162,2
410,547,6
411,547,1
412,548,1
413,550,1
414,551,1
415,552,3
416,553,3
