title,bio,org_description,position_org
Боровков Алексей Иванович,"<p>Руководитель лаборатории Вычислительная механика (CompMechLab) Санкт-Петербургского политехнического университета Петра Великого, советский и российский ученый в области вычислительной механики и компьютерного инжиниринга, лидер рабочей группы Технет и Центра НТИ по новым производственным технологиям.</p>","Санкт-Петербургский политехнический университет Петра Великого
http://www.spbstu.ru/",Проректор по перспективным проектам СПбПУ
Белослудцев Евгений Владимирович,"<p>Ведущий преподаватель курса, эксперт в области аддитивного производства.</p>
<p>Заместитель руководителя Центра НТИ «Новые производственные технологии» СПбПУ, директор международного научно-образовательного центра превосходства «Altair – CML – Политехник», сотрудник Инжинирингового центра CompMechLab Института передовых производственных технологий (ИППТ) СПбПУ.</p>
<p>Имеет большой опыт применения аддитивных технологий в промышленности, а также опыт создания, продвижения и продаж отечественных 3D-принтеров, работающих по технологиям FDM (экструзионная 3D-печать) и SLA (стереолитография).</p>
<p><br></p>","Лаборатория CompMechLab® в рамках Центра компетенций НТИ «Новые производственные технологии» на базе ИППТ СПбПУ – национальный лидер в области разработок оригинальных технологий, конструкций, оборудования и продуктов на основе передовых производственных технологий: цифрового проектирования и моделирования, компьютерного и суперкомпьютерного инжиниринга, компьютерных технологий оптимизации и аддитивных технологий. ","директор - МНОЦ Превосходства ""Альтаир-ЛВМ-Политехник"", старший преподаватель - Институт передовых производственных технологий, заместитель директора - Инжиниринговый центр "" Центр компьютерного инжиниринга"" СПбПУ"""
Сачава Дмитрий Сергеевич,,"Лаборатория CompMechLab® в рамках Центра компетенций НТИ «Новые производственные технологии» на базе ИППТ СПбПУ – национальный лидер в области разработок оригинальных технологий, конструкций, оборудования и продуктов на основе передовых производственных технологий: цифрового проектирования и моделирования, компьютерного и суперкомпьютерного инжиниринга, компьютерных технологий оптимизации и аддитивных технологий. 

","инженер 2 категории - Инжиниринговый центр "" Центр компьютерного инжиниринга"" СПбПУ"""
Жмайло Михаил Александрович,"<p>Преподаватель курса, эксперт в области проектирования на основе оптимизации.</p>
<p>Ведущий инженер Центра НТИ «Новые производственные технологии» СПбПУ, сотрудник Инжинирингового центра CompMechLab Института передовых производственных технологий (ИППТ) СПбПУ.</p>
<p>Имеет большой опыт проектирования на основе оптимизации для различных производственных технологий с опытом решения задач для авиации, космоса, автопрома и опытом работы в нефтегазовой отрасли.</p>","Лаборатория CompMechLab® в рамках Центра компетенций НТИ «Новые производственные технологии» на базе ИППТ СПбПУ – национальный лидер в области разработок оригинальных технологий, конструкций, оборудования и продуктов на основе передовых производственных технологий: цифрового проектирования и моделирования, компьютерного и суперкомпьютерного инжиниринга, компьютерных технологий оптимизации и аддитивных технологий. ","ведущий инженер - Инжиниринговый центр "" Центр компьютерного инжиниринга"" СПбПУ"""
Филиппович Андрей Юрьевич,"<p>Декан ИТ-факультета Московского Политеха, профессор кафедры инфокогнитивных технологий, член ведущей научной школы России ""Русская языковая личность"", со-руководитель Научно-образовательного кластера в области искусственного интеллекта и компьютерной лингвистики CLAIM (it-claim.ru). &nbsp;</p>
<p>Область научных интересов и практических разработок ориентирована на перспективный рынок Нейронет, включает вопросы изучения и моделирование языкового сознания человека с помощью информационных технологий, разработку жестомимических интерфейсов и музолингвальных технологий. В течение 20 лет является ведущим разработчиком масштабного проекта московской психолингвистической школы по созданию ассоциативных тезаурусов и ассоциативно-вербальных моделей сознания человека. К числу научных достижений в области искусственного интеллекта можно также отнести разработки моделей ситуационных центров, методов интеграции систем имитационного моделирования и экспертных систем, новых алгоритмов Data Mining и Text Mining.</p>
<p>Дополнительная информация – <a href=""http://it-claim.ru/andrey"">http://it-claim.ru/andrey</a> и <a href=""http://mospolytech.ru/index.php?id=5467"">http://mospolytech.ru/index.php?id=5467</a></p>","Московский политехнический университет сочетает гуманитарное и техническое знание, науку и творчество, свободный дух и верность традициям шести вузов, из которых он образован в 2016 году. Московский Политех – флагман практико-ориентированного обучения в России: проектная деятельность ведется студентами с первого курса и до выпуска, что позволяет совмещать теорию и практику. В сессию, вместе с обычными экзаменами, наши студенты проходят аттестацию в формате WorldSkills, получают сертификаты Cisco, 1С, Autodesk, Microsoft. Благодаря партнерству с более чем 200 индустриальными компаниями вуз сокращает разрыв между навыками выпускников и потребностями работодателей.","Декан Факультета информационных технологий Московского Политеха, МТС"""
Недогарок Антон Александрович,"<p>Родился в 1989 г в г. Ногинск Московской области. В 2012 г. с отличием защитил диплом в Московском Государственном Техническом Университете им. Н.Э. Баумана и получил звание лейтенанта запаса. Закончил аспирантуру МГТУ им. Н.Э. Баумана. В разное время работал в ОКБ МЭИ, АО «Концерн ВКО «Алмаз – Антей», ОАО ОЭСКБЭС МАИ. В настоящее время продолжает работу над кандидатской диссертацией в МГТУ им. Н.Э. Баумана, ведёт преподавательскую деятельность в Московском Политехническом университете, а также инженерную работу в ПАО «Корпорация «Иркут».</p>","Московский политехнический университет сочетает гуманитарное и техническое знание, науку и творчество, свободный дух и верность традициям шести вузов, из которых он образован в 2016 году. Московский Политех – флагман практико-ориентированного обучения в России: проектная деятельность ведется студентами с первого курса и до выпуска, что позволяет совмещать теорию и практику. В сессию, вместе с обычными экзаменами, наши студенты проходят аттестацию в формате WorldSkills, получают сертификаты Cisco, 1С, Autodesk, Microsoft. Благодаря партнерству с более чем 200 индустриальными компаниями вуз сокращает разрыв между навыками выпускников и потребностями работодателей.",преподаватель в Московском политехническом университете
Князев Николай Александрович,"<p>Николай Князев, окончил факультет Вычислительной Математики и Информатики МГУ им. Ломоносова, аспирантуру Института Прикладной Математики им. Келдыша РАН, кандидат физ.-мат. наук. Основатель и руководитель профиля Большие Данные и Машинное Обучение Олимпиады НТИ. Изначально работал в сфере САПР в крупных иностранных компаниях (Intel, Mentor Graphics). В данный момент возглавляет группу машинного обучения в Инфосистемы Джет, занимается внедрением методов машинного обучения в крупные компании. Эксперт Фонда Содействия Инновациям, автор более 10 научных публикаций, Многократный участник, организатор и победитель различных хакатонов в сфере Искусственного Интеллекта.</p>","Компания «Инфосистемы Джет» работает на рынке информационных технологий (ИТ) с 1991 года. Все этапы становления российского ИТ-рынка — от начального, когда ИТ считались своеобразным «украшением», до настоящего времени, когда успех и развитие компании во многом определяются уровнем ИТ, используемых в производственных процессах, в управлении компанией и ее бизнесом — этот путь «Джет» прошел вместе со своими клиентами.
Сегодня у компании 9 офисов на территории РФ: в Москве, Владивостоке, Екатеринбурге, Краснодаре, Нижнем Новгороде, Новосибирске, Санкт-Петербурге, Ярославле и Новом Уренгое. Действуют представительства в Казахстане, Азербайджане и Белоруссии. Кроме того, ведется ряд проектов в Таджикистане, Армении и Грузии.
Компания обладает необходимыми лицензиями и сертификатами для осуществления своей деятельности, в том числе лицензиями Федеральной службы по техническому и экспортному контролю (ФСТЭК России), ФСБ России, Министерства обороны РФ, Свидетельствами СРО по строительству и проектированию и рядом других. Система управления качеством компании сертифицирована на соответствие международному стандарту ISO 9001:2000 с 2004 года, ISO 9001:2008 с 2009 года.
","Руководитель группы машинного обучения компании ""Инфосистемы Джет"""""
Семенов Алексей Евгеньевич,,"Группа компаний «Геоскан» производит и поставляет беспилотные аэрофотосъемочные комплексы, фотограмметрическое программное обеспечение Agisoft Photoscan и ПО для визуализации и анализа данных аэрофотосъемки ГИС Спутник. Технологии, заложенные в наших продуктах, позволяют оперативно получать высокоточные ортофотопланы, матрицы высот и 3D модели местности. Мы осуществляем обучение, сопровождение и техническую поддержку, а также предоставляем услуги по аэрофотосъемке и анализу данных.",Генеральный директор ГК «Геоскан»
Станислав Сергеевич Страупе,"<p>Окончил физический факультет МГУ имени М.В.Ломоносова в 2009 году, защитил кандидатскую диссертацию в 2011 году со специализацией в области квантовой оптики, инженерии неклассических состояний света и оптической квантовой информации. В 2011-2012 году работал в Центре квантовых технологий (CQT) в Сингапуре в качестве постдока, занимался экспериментальной квантовой электродинамикой в резонаторах и взаимодействием одиночных атомов с излучением в режиме сильной связи. В настоящий момент является старшим научным сотрудником Центра квантовых технологий МГУ имени М.В.Ломоносова, где возглавляет сектор квантовых вычислений и руководит работами по созданию квантовых симуляторов на основе одиночных холодных атомов в оптических ловушках.</p>
<p></p>","Центр квантовых технологий МГУ имени М.В. Ломоносова создан в рамках программы развития центров компетенции НТИ по сквозным технологиям. Основными задачами Центра является разработка систем и внедрение систем квантовых вычислений и квантовой связи. В центре также развиваются образовательные программы  по современным квантовым технологиям, нанофотонике, нелинейной и квантовой оптике.","Ведущий научный сотрудник,  Центр Квантовых технологий МГУ имени М.В. Ломоносова"""
Сайгин Михаил Юрьевич,"<p>Окончил физический факультет МГУ в 2008 г. В 2011 году получил степень кандидата физико-математических наук на физическом факультет МГУ. В 2012 году получил степень доктора физики Университета Науки и Технологи Лилль (Лилль, Франция). Область научных интересов: квантовая нелинейная оптика, интегральная оптика, квантовые вычисления.</p>","Центр квантовых технологий МГУ имени М.В. Ломоносова создан в рамках программы развития центров компетенции НТИ по сквозным технологиям. Основными задачами Центра является разработка систем и внедрение систем квантовых вычислений и квантовой связи. В центре также развиваются образовательные программы  по современным квантовым технологиям, нанофотонике, нелинейной и квантовой оптике.","Ведущий научный сотрудник,  Центр Квантовых технологий МГУ имени М.В. Ломоносова"""
