id,time_start,time_end
1,2018-07-10 20:00:00,2018-07-10 23:00:00
2,2018-07-11 20:00:00,2018-07-11 23:00:00
3,2018-07-12 20:00:00,2018-07-12 23:00:00
4,2018-07-13 20:00:00,2018-07-13 23:00:00
5,2018-07-14 20:00:00,2018-07-14 23:00:00
6,2018-07-15 20:00:00,2018-07-15 23:00:00
7,2018-07-16 20:00:00,2018-07-16 23:00:00
8,2018-07-17 20:00:00,2018-07-17 23:00:00
9,2018-07-18 20:00:00,2018-07-18 23:00:00
19,2018-07-10 23:00:00,2018-07-11 03:00:00
20,2018-07-11 23:00:00,2018-07-12 03:00:00
21,2018-07-12 23:00:00,2018-07-13 03:00:00
22,2018-07-13 23:00:00,2018-07-14 03:00:00
23,2018-07-14 23:00:00,2018-07-15 03:00:00
24,2018-07-15 23:00:00,2018-07-16 03:00:00
25,2018-07-16 23:00:00,2018-07-17 03:00:00
26,2018-07-17 23:00:00,2018-07-18 03:00:00
27,2018-07-18 23:00:00,2018-07-19 03:00:00
28,2018-07-19 10:00:00,2018-07-19 11:00:00
29,2018-07-10 22:00:00,2018-07-11 03:00:00
30,2018-07-11 22:00:00,2018-07-12 03:00:00
31,2018-07-12 22:00:00,2018-07-13 03:00:00
32,2018-07-13 22:00:00,2018-07-14 03:00:00
33,2018-07-15 22:00:00,2018-07-16 03:00:00
34,2018-07-16 22:00:00,2018-07-17 03:00:00
35,2018-07-17 22:00:00,2018-07-18 03:00:00
36,2018-07-18 22:00:00,2018-07-19 03:00:00
37,2018-07-11 03:00:00,2018-07-11 04:00:00
38,2018-07-12 03:00:00,2018-07-12 04:00:00
39,2018-07-13 03:00:00,2018-07-13 04:00:00
40,2018-07-14 03:00:00,2018-07-14 04:00:00
41,2018-07-15 03:00:00,2018-07-15 04:00:00
42,2018-07-16 03:00:00,2018-07-16 04:00:00
43,2018-07-17 03:00:00,2018-07-17 04:00:00
44,2018-07-18 03:00:00,2018-07-18 04:00:00
45,2018-07-19 03:00:00,2018-07-19 04:00:00
46,2018-07-11 04:00:00,2018-07-11 08:00:00
47,2018-07-12 04:00:00,2018-07-12 08:00:00
48,2018-07-13 04:00:00,2018-07-13 08:00:00
49,2018-07-11 04:00:00,2018-07-11 06:00:00
50,2018-07-12 04:00:00,2018-07-12 06:00:00
51,2018-07-13 04:00:00,2018-07-13 06:00:00
52,2018-07-14 04:00:00,2018-07-14 06:00:00
53,2018-07-15 04:00:00,2018-07-15 06:00:00
54,2018-07-16 04:00:00,2018-07-16 06:00:00
55,2018-07-17 04:00:00,2018-07-17 06:00:00
56,2018-07-18 04:00:00,2018-07-18 06:00:00
57,2018-07-19 04:00:00,2018-07-19 06:00:00
58,2018-07-13 06:00:00,2018-07-13 08:00:00
59,2018-07-12 06:00:00,2018-07-12 08:00:00
60,2018-07-14 06:00:00,2018-07-14 08:00:00
61,2018-07-15 04:00:00,2018-07-15 08:00:00
62,2018-07-14 04:00:00,2018-07-14 08:00:00
63,2018-07-16 04:00:00,2018-07-16 08:00:00
64,2018-07-11 06:00:00,2018-07-11 08:00:00
65,2018-07-12 08:00:00,2018-07-12 10:00:00
66,2018-07-11 08:00:00,2018-07-11 10:00:00
67,2018-07-11 10:00:00,2018-07-11 11:00:00
68,2018-07-12 10:00:00,2018-07-12 11:00:00
69,2018-07-13 10:00:00,2018-07-13 11:00:00
70,2018-07-14 10:00:00,2018-07-14 11:00:00
71,2018-07-15 10:00:00,2018-07-15 11:00:00
72,2018-07-16 10:00:00,2018-07-16 11:00:00
73,2018-07-17 10:00:00,2018-07-17 11:00:00
74,2018-07-18 10:00:00,2018-07-18 11:00:00
75,2018-07-11 11:00:00,2018-07-11 13:00:00
76,2018-07-13 08:00:00,2018-07-13 10:00:00
77,2018-07-14 08:00:00,2018-07-14 10:00:00
78,2018-07-15 08:00:00,2018-07-15 10:00:00
79,2018-07-16 08:00:00,2018-07-16 10:00:00
80,2018-07-17 08:00:00,2018-07-17 10:00:00
81,2018-07-18 08:00:00,2018-07-18 10:00:00
82,2018-07-19 08:00:00,2018-07-19 10:00:00
83,2018-07-12 11:00:00,2018-07-12 13:00:00
84,2018-07-17 04:00:00,2018-07-17 08:00:00
85,2018-07-18 04:00:00,2018-07-18 08:00:00
87,2018-07-14 05:00:00,2018-07-14 06:00:00
88,2018-07-13 04:00:00,2018-07-13 10:00:00
89,2018-07-13 11:00:00,2018-07-13 13:00:00
91,2018-07-14 04:00:00,2018-07-14 05:00:00
92,2018-07-14 06:00:00,2018-07-14 10:00:00
93,2018-07-15 04:00:00,2018-07-15 10:00:00
94,2018-07-19 11:00:00,2018-07-19 13:00:00
95,2018-07-18 11:00:00,2018-07-18 13:00:00
96,2018-07-15 06:00:00,2018-07-15 08:00:00
97,2018-07-15 11:00:00,2018-07-15 13:00:00
98,2018-07-14 11:00:00,2018-07-14 13:00:00
99,2018-07-16 06:00:00,2018-07-16 08:00:00
101,2018-07-17 06:00:00,2018-07-17 08:00:00
102,2018-07-18 06:00:00,2018-07-18 08:00:00
103,2018-07-16 11:00:00,2018-07-16 13:00:00
104,2018-07-19 04:00:00,2018-07-19 08:00:00
110,2018-07-17 11:00:00,2018-07-17 13:00:00
111,2018-07-19 06:00:00,2018-07-19 08:00:00
112,2018-07-19 04:00:00,2018-07-19 08:00:00
113,2018-07-20 23:00:00,2018-07-21 01:00:00
114,2018-07-14 22:00:00,2018-07-15 03:00:00
119,2018-07-12 04:00:00,2018-07-12 08:00:00
120,2018-07-19 04:00:00,2018-07-19 06:00:00
121,2018-07-18 00:00:00,2018-07-18 04:00:00
122,2018-07-21 01:00:00,2018-07-21 03:00:00
123,2018-07-14 00:00:00,2018-07-14 03:00:00
124,2018-07-10 06:30:00,2018-07-10 12:30:00
125,2018-07-10 21:00:00,2018-07-10 22:00:00
126,2018-07-11 21:00:00,2018-07-11 22:00:00
127,2018-07-12 21:00:00,2018-07-12 22:00:00
128,2018-07-13 21:00:00,2018-07-13 22:00:00
129,2018-07-14 21:00:00,2018-07-14 22:00:00
130,2018-07-15 21:00:00,2018-07-15 22:00:00
131,2018-07-16 21:00:00,2018-07-16 22:00:00
132,2018-07-17 21:00:00,2018-07-17 22:00:00
133,2018-07-18 21:00:00,2018-07-18 22:00:00
134,2018-07-19 21:00:00,2018-07-19 22:00:00
135,2018-07-20 21:00:00,2018-07-20 22:00:00
136,2018-07-10 22:00:00,2018-07-10 23:00:00
137,2018-07-12 22:00:00,2018-07-12 23:00:00
138,2018-07-11 22:00:00,2018-07-11 23:00:00
139,2018-07-13 22:00:00,2018-07-13 23:00:00
140,2018-07-14 22:00:00,2018-07-14 23:00:00
141,2018-07-15 22:00:00,2018-07-15 23:00:00
142,2018-07-16 22:00:00,2018-07-16 23:00:00
143,2018-07-17 22:00:00,2018-07-17 23:00:00
144,2018-07-18 22:00:00,2018-07-18 23:00:00
145,2018-07-19 22:00:00,2018-07-19 23:00:00
146,2018-07-20 22:00:00,2018-07-20 23:00:00
147,2018-07-21 04:00:00,2018-07-21 06:00:00
148,2018-07-13 22:00:00,2018-07-14 00:00:00
149,2018-07-14 22:00:00,2018-07-15 00:00:00
150,2018-07-17 22:00:00,2018-07-18 00:00:00
151,2018-07-15 00:00:00,2018-07-15 03:00:00
152,2018-07-14 05:00:00,2018-07-14 06:00:00
153,2018-07-21 06:00:00,2018-07-21 08:00:00
154,2018-07-09 20:00:00,2018-07-09 21:00:00
155,2018-07-09 22:00:00,2018-07-10 03:00:00
156,2018-07-10 20:30:00,2018-07-10 21:30:00
157,2018-07-10 21:30:00,2018-07-10 22:30:00
158,2018-07-11 20:30:00,2018-07-11 21:30:00
159,2018-07-11 21:30:00,2018-07-11 22:30:00
160,2018-07-12 20:30:00,2018-07-12 21:30:00
161,2018-07-12 21:30:00,2018-07-12 22:30:00
162,2018-07-13 20:30:00,2018-07-13 21:30:00
163,2018-07-13 21:30:00,2018-07-13 22:30:00
164,2018-07-10 20:30:00,2018-07-10 21:00:00
165,2018-07-10 21:00:00,2018-07-10 21:30:00
166,2018-07-10 21:30:00,2018-07-10 22:00:00
167,2018-07-10 22:00:00,2018-07-10 22:30:00
168,2018-07-10 22:30:00,2018-07-10 23:00:00
169,2018-07-11 20:30:00,2018-07-11 21:00:00
170,2018-07-11 21:00:00,2018-07-11 21:30:00
171,2018-07-11 21:30:00,2018-07-11 22:00:00
172,2018-07-11 22:00:00,2018-07-11 22:30:00
173,2018-07-11 22:30:00,2018-07-11 23:00:00
174,2018-07-12 20:30:00,2018-07-12 21:00:00
175,2018-07-12 21:00:00,2018-07-12 21:30:00
176,2018-07-12 21:30:00,2018-07-12 22:00:00
177,2018-07-12 22:00:00,2018-07-12 22:30:00
178,2018-07-12 22:30:00,2018-07-12 23:00:00
179,2018-07-13 20:30:00,2018-07-13 21:00:00
180,2018-07-13 21:00:00,2018-07-13 21:30:00
181,2018-07-13 21:30:00,2018-07-13 22:00:00
182,2018-07-13 22:00:00,2018-07-13 22:30:00
183,2018-07-13 22:30:00,2018-07-13 23:00:00
184,2018-07-19 04:00:00,2018-07-19 08:08:00
185,2018-07-19 04:00:00,2018-07-19 08:11:00
186,2018-07-19 04:00:00,2018-07-19 08:09:00
187,2018-07-19 04:00:00,2018-07-19 08:07:00
188,2018-07-19 04:00:00,2018-07-19 08:12:00
189,2018-07-19 04:00:00,2018-07-19 08:01:00
190,2018-07-19 04:00:00,2018-07-19 08:10:00
191,2018-07-19 04:00:00,2018-07-19 08:16:00
192,2018-07-16 21:30:00,2018-07-16 22:30:00
193,2018-07-19 22:00:00,2018-07-20 03:00:00
194,2018-07-20 22:00:00,2018-07-21 03:00:00
195,2018-07-09 21:00:00,2018-07-09 22:00:00
196,2018-07-09 22:00:00,2018-07-09 23:00:00
197,2018-07-13 20:00:00,2018-07-13 21:00:00
198,2018-07-20 04:00:00,2018-07-20 08:00:00
199,2018-07-14 20:30:00,2018-07-14 21:30:00
200,2018-07-14 21:30:00,2018-07-14 22:30:00
201,2018-07-15 20:30:00,2018-07-15 21:30:00
202,2018-07-15 21:30:00,2018-07-15 22:30:00
203,2018-07-16 20:30:00,2018-07-16 21:30:00
204,2018-07-17 20:30:00,2018-07-17 21:30:00
205,2018-07-17 21:30:00,2018-07-17 22:30:00
206,2018-07-18 21:30:00,2018-07-18 22:30:00
207,2018-07-18 20:30:00,2018-07-18 21:30:00
208,2018-07-17 21:30:00,2018-07-17 22:30:00
209,2018-07-18 20:30:00,2018-07-18 21:30:00
210,2018-07-18 21:30:00,2018-07-18 22:30:00
211,2018-07-17 20:30:00,2018-07-17 21:30:00
212,2018-07-21 04:00:00,2018-07-21 08:00:00
213,2018-07-19 20:30:00,2018-07-19 21:30:00
214,2018-07-19 21:30:00,2018-07-19 22:30:00
215,2018-07-20 00:00:00,2018-07-20 08:00:00
216,2018-07-20 23:30:00,2018-07-21 09:00:00
217,2018-07-20 10:35:00,2018-07-20 12:00:00
